code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_click,avg_clicks_per_day,max_clicks_day,active_days,sucess,engagement_level,no_engagement_flag,first_activity_day,pre_course_engaged,early_click,early_active_days
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,934.0,4.76530612244898,76.0,40.0,1,Medium,0,-5.0,1.0,203.0,5.0
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,1435.0,3.3372093023255816,23.0,80.0,1,High,0,-10.0,1.0,241.0,7.0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,281.0,3.697368421052632,23.0,12.0,0,Low,0,-10.0,1.0,179.0,6.0
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,2158.0,3.2549019607843137,22.0,123.0,1,High,0,-10.0,1.0,180.0,8.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,1034.0,2.9375,22.0,70.0,1,Medium,0,-10.0,1.0,177.0,9.0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,2445.0,3.381742738589212,22.0,143.0,1,High,0,-10.0,1.0,291.0,13.0
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,1492.0,4.20281690140845,48.0,90.0,1,High,0,-10.0,1.0,74.0,3.0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,1428.0,2.689265536723164,46.0,105.0,1,Medium,0,-9.0,1.0,105.0,7.0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,1894.0,3.193929173693086,34.0,122.0,1,High,0,-4.0,1.0,95.0,7.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,3158.0,3.493362831858407,38.0,142.0,1,High,0,-7.0,1.0,206.0,7.0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,1319.0,3.272952853598015,34.0,90.0,1,Medium,0,-10.0,1.0,181.0,10.0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,1732.0,3.2927756653992395,34.0,120.0,1,High,0,-10.0,1.0,131.0,7.0
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,1102.0,3.1942028985507247,28.0,61.0,1,Medium,0,-10.0,1.0,329.0,9.0
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,3388.0,3.45361875637105,29.0,148.0,1,High,0,-10.0,1.0,60.0,2.0
